,Gene cluster #0,Gene cluster #1,Gene cluster #2,Gene cluster #3,Gene cluster #4,Gene cluster #5,Gene cluster #6,Gene cluster #7,Gene cluster #8,Gene cluster #9,Gene cluster #10,Gene cluster #11,Gene cluster #12,Gene cluster #13,Gene cluster #14,Gene cluster #15,Gene cluster #16,Gene cluster #17
1,0.020711678332911668,0.03675390430885962,0.039208839623225536,0.035621827444420974,0.05718431253395287,0.02363006701923339,0.028248009815370716,0.04348400455532126,0.07865053009001452,0.10986776704659752,0.03006573579154893,0.05230939761180263,0.055079159586085065,0.15968335730966784,0.1934664200291102,0.07130451065793524,0.05979137430212968,0.021110789400956842
2,0.02138224703031089,0.04406525529381608,0.044618222433238874,0.03683519793666161,0.05608425350916339,0.025603864295358825,0.03174834704029812,0.04423913568145587,0.08086427831706977,0.1062476868933057,0.027500055904511288,0.04476254228032206,0.04437794709481479,0.15432246893291154,0.19107585477870132,0.06428265028695362,0.051176898073984935,0.02367945662181364
4,0.01839634257810693,0.039768902547171844,0.04073000953871091,0.03388796976557428,0.051057252886256815,0.02445498679273948,0.031237425227908736,0.04233448374053807,0.07819261550619094,0.1124309635756002,0.028017215640148085,0.05021419355709249,0.04991717189776477,0.15486225549709787,0.19071338261483642,0.06400159355028566,0.056899476370702376,0.01885431038233047
5,0.018890930895017158,0.03567419922464468,0.039185423846508194,0.029465073971541064,0.05816835156482937,0.023879998700375507,0.02895421969587627,0.04054040582806355,0.07067328366201064,0.1060448275449552,0.030675282942624917,0.0520844268892339,0.05063188788129334,0.14216396398176995,0.18962731560555277,0.060425360562336425,0.056703438914422075,0.021167982530888342
6,0.019092803074956442,0.03555543637683509,0.03919994065330582,0.035269455802017964,0.04684850203912454,0.02333466192114395,0.029000242334172806,0.04188297637250278,0.08283396254584093,0.10538999312307444,0.029791796211073987,0.05256523351546377,0.05432773228535828,0.13718880183875684,0.20324618808283512,0.0598508253741562,0.05961320976162578,0.0199137922715774
8,0.018511938046739902,0.038510609748562824,0.04001531661232055,0.030720003139902908,0.053316139186929526,0.025749686124086155,0.03123477622905354,0.03994998021028687,0.07924087493941226,0.11865060667469846,0.025569327419911667,0.048500456697099424,0.049280640657250886,0.14318852600819215,0.18005009332571204,0.06894898866040347,0.055550457527423006,0.022644683109835386
19,0.017380901774280283,0.0342305091790152,0.037567173277821754,0.02696456859786864,0.057390028206568064,0.022648470684547353,0.027983295052975844,0.043335793921652085,0.07200112499343303,0.10393576111725862,0.03138201590216514,0.053583605545204034,0.05408726274681538,0.15103641843503207,0.19154510391649276,0.06379522166292534,0.05740052718042081,0.024288019654719845
22,0.016884940581086458,0.03341017766100382,0.03851934458808521,0.02688925808105854,0.05540161809891972,0.021853154557427187,0.027002165465025596,0.04087134685849778,0.0725725457067732,0.1022509245751932,0.03030185395231405,0.05401894926775408,0.05565941585635906,0.14534059322760454,0.19468057697041957,0.06048210189359385,0.06185539945470823,0.022071306815147358
23,0.02369023236348705,0.04011521632110225,0.03993355483328797,0.034663142267514505,0.05803745897171525,0.02787632869835699,0.030442374420576415,0.041772290302985585,0.07490633798573268,0.10439759414389416,0.028681073908978973,0.04780019827257093,0.047207331735696384,0.15337940468215455,0.18184764896788916,0.056635314673782834,0.052969738766856886,0.017179982858215783
24,0.02115651498846844,0.04126024431813751,0.041704508393584014,0.03513687416449903,0.05311516183852164,0.023227936971722388,0.031071791959948476,0.04195904048192053,0.07981845032029987,0.10171102611728333,0.02809130565463749,0.0480106942267602,0.0503816833067547,0.14907918361519115,0.19411049642767284,0.06377468275770129,0.055027709152350585,0.017899083134549243
