Gene	HIGH	LOW	
ADF1	0	0	
AI3	0	0	
AI4	0	0	
AI5_ALPHA	0	0	
AI5_BETA	0	0	
ASP3-1	0	0	
ASP3-2	0	0	
ASP3-3	0	0	
ASP3-4	0	0	
ATP6	0	0	
ATP8	0	0	
BI2	0	0	
BI3	0	0	
BI4	0	0	
BUD25	0	0	
COB	0	0	
COX1	0	0	
COX2	0	0	
COX3	0	0	
ERCC-00012	0	0	
ERCC-00016	0	0	
ERCC-00017	0	0	
ERCC-00041	0	0	
ERCC-00057	0	0	
ERCC-00075	0	0	
ERCC-00083	0	0	
ERCC-00098	0	0	
ERCC-00117	0	0	
ERCC-00142	0	0	
ERCC-00164	0	0	
ERR1	0	0	
GEX1	0	0	
HSP32	0	0	
HXT16	0	0	
IMA3	0	0	
IMA4	0	0	
LEU2	0	0	
MET17	0	0	
NAG1	0	0	
OLI1	0	0	
PAU19	0	0	
PAU9	0	0	
Q0010	0	0	
Q0017	0	0	
Q0032	0	0	
Q0092	0	0	
Q0142	0	0	
Q0143	0	0	
Q0144	0	0	
Q0182	0	0	
Q0255	0	0	
Q0297	0	0	
SCEI	0	0	
SLM6	0	0	
URA3	0	0	
VAM10	0	0	
VAR1	0	0	
YAL037C-A	0	0	
YAL068W-A	0	0	
YAR035C-A	0	0	
YAR060C	0	0	
YAR061W	0	0	
YAR069C	0	0	
YBL006W-A	0	0	
YBL039C-A	0	0	
YBL068W-A	0	0	
YBL071C-B	0	0	
YBL112C	0	0	
YBR056C-B	0	0	
YBR099C	0	0	
YBR121C-A	0	0	
YBR131C-A	0	0	
YBR141W-A	0	0	
YBR196C-B	0	0	
YBR219C	0	0	
YBR223W-A	0	0	
YCL022C	0	0	
YCL075W	0	0	
YCL076W	0	0	
YCR038W-A	0	0	
YCR045W-A	0	0	
YCR047W-A	0	0	
YCR081C-A	0	0	
YCR087C-A	0	0	
YDL007C-A	0	0	
YDL025W-A	0	0	
YDL086C-A	0	0	
YDL159C-B	0	0	
YDL159W-A	0	0	
YDL240C-A	0	0	
YDL247W-A	0	0	
YDR015C	0	0	
YDR194W-A	0	0	
YDR210W	0	0	
YDR354C-A	0	0	
YDR371C-A	0	0	
YDR464C-A	0	0	
YDR545C-A	0	0	
YEL008C-A	0	0	
YEL032C-A	0	0	
YEL075C	0	0	
YEL077W-A	0	0	
YER023C-A	0	0	
YER090C-A	0	0	
YER189W	0	0	
YER190C-B	0	0	
YFL068W	0	0	
YFR009W-A	0	0	
YFR012W-A	0	0	
YFR057W	0	0	
YGL014C-A	0	0	
YGL041C	0	0	
YGL063C-A	0	0	
YGL123C-A	0	0	
YGR068W-A	0	0	
YGR226C	0	0	
YGR270C-A	0	0	
YGR296C-B	0	0	
YHL050W-A	0	0	
YHR054C	0	0	
YHR073C-B	0	0	
YHR073W-A	0	0	
YHR180C-B	0	0	
YHR212C	0	0	
YHR212W-A	0	0	
YHR214C-D	0	0	
YHR218W-A	0	0	
YHR219C-A	0	0	
YIL021C-A	0	0	
YIL105W-A	0	0	
YJL020W-A	0	0	
YJL026C-A	0	0	
YJL077W-A	0	0	
YJL136W-A	0	0	
YJL197C-A	0	0	
YJL222W-B	0	0	
YJL225W-A	0	0	
YJR140W-A	0	0	
YJR151W-A	0	0	
YKL100W-A	0	0	
YKL145W-A	0	0	
YKL156C-A	0	0	
YKL183C-A	0	0	
YKR075W-A	0	0	
YLL006W-A	0	0	
YLL019W-A	0	0	
YLL066W-A	0	0	
YLR120W-A	0	0	
YLR154C-H	0	0	
YLR156C-A	0	0	
YLR156W	0	0	
YLR157C-C	0	0	
YLR157W-D	0	0	
YLR157W-E	0	0	
YLR159C-A	0	0	
YLR159W	0	0	
YLR161W	0	0	
YLR163W-A	0	0	
YLR286W-A	0	0	
YLR299C-A	0	0	
YLR302C	0	0	
YLR347W-A	0	0	
YLR364C-A	0	0	
YLR366W	0	0	
YLR399W-A	0	0	
YLR406C-A	0	0	
YLR463C	0	0	
YLR466C-A	0	0	
YLR467C-A	0	0	
YML047W-A	0	0	
YML133W-B	0	0	
YMR013C-A	0	0	
YMR013W-A	0	0	
YMR230W-A	0	0	
YMR272W-A	0	0	
YMR272W-B	0	0	
YMR307C-A	0	0	
YMR326C	0	0	
YNL067W-A	0	0	
YNL067W-B	0	0	
YNL097W-A	0	0	
YNL144W-A	0	0	
YNL337W	0	0	
YNR003W-A	0	0	
YNR075C-A	0	0	
YNR077C	0	0	
YOL019W-A	0	0	
YOL083C-A	0	0	
YOL166W-A	0	0	
YOR108C-A	0	0	
