ORF	Gene	Position	Fast	Slow
HML	HML	chrIII:11145-14849	0	0
HMR	HMR	chrIII:292387-295034	0	0
MATALPHA	MATALPHA	chrIII:197620-205397	0	0
Q0010	Q0010	chrMito:3951-4415	0	0
Q0017	Q0017	chrMito:3951-4415	0	0
Q0032	Q0032	chrMito:11666-11957	0	0
Q0045	COX1	chrMito:13817-26701	0.509844	1.38667
Q0050	AI1	chrMito:13817-26701	1.33216	1.23563
Q0055	AI2	chrMito:13817-26701	0.907174	1.97016
Q0060	AI3	chrMito:13817-26701	0	0
Q0065	AI4	chrMito:13817-26701	0	0.579547
Q0070	AI5_ALPHA	chrMito:13817-26701	0	0
Q0075	AI5_BETA	chrMito:13817-26701	0.341952	0.544257
Q0080	ATP8	chrMito:27665-27812	0	0
Q0085	ATP6	chrMito:28486-29266	0	0.787862
Q0092	Q0092	chrMito:30873-31014	0	0
Q0105	COB	chrMito:36539-43647	0	1.4241
Q0110	BI2	chrMito:36539-43647	0	0
Q0115	BI3	chrMito:36539-43647	0.0925894	0
Q0120	BI4	chrMito:36539-43647	0	0
Q0130	OLI1	chrMito:46722-46953	3.15944	5.78239
Q0140	VAR1	chrMito:48900-50097	0	0
Q0142	Q0142	chrMito:51051-51228	0	0
Q0143	Q0143	chrMito:51276-51429	0	0
Q0144	Q0144	chrMito:54108-54438	0	0
Q0160	SCEI	chrMito:58008-62447	0.183997	0.397648
Q0182	Q0182	chrMito:65769-66179	0	0.334523
Q0250	COX2	chrMito:73757-75984	1.11785	1.03856
Q0255	Q0255	chrMito:73757-75984	0.137065	0.316751
Q0275	COX3	chrMito:79212-80022	0.109301	1.96764
Q0297	Q0297	chrMito:85294-85777	0	0
R0010W	FLP1	2-micron:251-1523	261.06	318.705
R0020C	REP1	2-micron:1886-3008	404.99	487.217
R0030W	RAF1	2-micron:3270-3816	462.642	624.062
R0040C	REP2	2-micron:5307-6198	523.402	509.936
YAL001C	TFC3	chrI:147593-151166	15.569	22.7432
YAL002W	VPS8	chrI:143706-147531	11.3221	10.9428
YAL003W	EFB1	chrI:142173-143160	5443.04	4292.78
YAL004W	YAL004W	chrI:139502-141431	95.2075	163.661
YAL005C	SSA1	chrI:139502-141431	248.241	384.187
YAL007C	ERP2	chrI:137697-138345	182.727	190.66
YAL008W	FUN14	chrI:136913-137510	54.033	47.684
YAL009W	SPO7	chrI:135853-136633	47.3247	51.5103
YAL010C	MDM10	chrI:134183-135665	18.8784	23.8279
YAL011W	SWC3	chrI:132198-134076	26.8072	31.5856
YAL012W	CYS3	chrI:130798-131983	208.757	354.647
YAL013W	DEP1	chrI:129269-130487	53.1439	60.0982
YAL014C	SYN8	chrI:128251-129019	78.3325	82.347
YAL015C	NTG1	chrI:126902-128102	35.2989	47.8051
YAL016C-A	YAL016C-A	chrI:124754-126786	8.15519	3.10583
YAL016C-B	YAL016C-B	chrI:124306-124492	175.815	179.523
YAL016W	TPD3	chrI:124754-126786	111.049	101.348
YAL017W	PSK1	chrI:120224-124295	7.70951	9.55939
YAL018C	YAL018C	chrI:118563-119541	0.723651	0.707963
YAL019W	FUN30	chrI:114918-118314	39.6999	46.1015
YAL019W-A	YAL019W-A	chrI:113613-114819	24.6103	34.4227
